docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
GUEVARA CALUME ROBERTO CARLOS,EXPERIMENTALLY MEASURING INTERFERENCE BETWEEN WIRELESS NETWORKS BY OVERLAPPING OF CHANNELS,,CUADERNO ACTIVA,2013,,23--29,"TECNOLOGICO ANTIOQUIA-INST UNIV, FAC INGENIERIA CL 78B 72A-220, MEDELLIN~…",,,,,5,"Guevara Calume, Roberto Carlos",
GUEVARA CALUME ROBERTO CARLOS,"FORMACIÓN PROFESIONAL EN EL CAMPO DE LA SEGURIDAD INFORMÁTICA, A TRAVÉS DE SUS COMPONENTES BÁSICOS",Colombia,Revista Reflexiones y Saberes,2017,,40--54,,http://revistavirtual.ucn.edu.co/index.php/RevistaRyS/issue/view/65,2389-7511,,4.0,6,"Calume, Roberto Carlos Guevara and Jaramillo, Sebastián Gómez and Sepúlveda, Jorge Mauricio",
GUEVARA CALUME ROBERTO CARLOS,IMPACTO DE TWITTER EN EL BIG DATA Y DATA MINING,,DESARROLLO E INNOVACIÓN EN INGENIERÍA,2018,,49,,,,,,,"Guevara C, Roberto C. and Fuertes, Yolfaris N",
GUEVARA CALUME ROBERTO CARLOS,"PATTERN RECOGNITION AT ENGINEERING, A GROWING NEED AND AN UNATTENDED ACADEMIC OFFER IN INSTITUTIONS OF HIGHER EDUCATION",Colombia,Actas De Ingeniería,2017,,252 - 260,,http://fundacioniai.org/actas/current.html,2463-0128,,,,,
GUEVARA CALUME ROBERTO CARLOS,PROPUESTA PARA LA CLASIFICACIÓN DE LOS OBJETOS VIRTUALES DE APRENDIZAJE INTERACTIVOS,Colombia,Revista Virtual Universidad Católica del Norte,2022,,213 - 242,,10.35575/rvucn.n66a9,0124-5821,https://doi.org/10.35575/rvucn.n66a9,,,Roberto Carlos Guevara Calume; Carlos Eduardo Uc Ríos; Yuli Gabriela Yarce Marín,
GUEVARA CALUME ROBERTO CARLOS,"RECONOCIMIENTO DE PATRONES EN INGENIERÍA, UNA NECESIDAD CRECIENTE Y UNA OFERTA ACADÉMICA NO SATISFECHA EN INSTITUCIONES DE EDUCACIÓN SUPERIOR",,DESARROLLO E INNOVACIÓN EN INGENIERÍA,2017,,319,,,,,,,"Guevara, Roberto C and Camacho, Edwin and Morales, Jenny A",
GUEVARA CALUME ROBERTO CARLOS,"RECONOCIMIENTO DE PATRONES EN LA EDUCACIÓN SUPERIOR, UNA NECESIDAD NO SATISFECHA",,Revista de divulgación científica y tecnológica. ISSN,2018,,4944,,,,,2444.0,,"Calume, RC Guevara and Cuartas, O Muños and Álvarez, LF Zapata and Correa, F Orduña",
GUEVARA CALUME ROBERTO CARLOS,"RECONOCIMIENTO DE PATRONES EN LA EDUCACIÓN SUPERIOR, UNA NECESIDAD NO SATISFECHA AUTORES E INFOMACIÓN DEL ARTÍCULO",,Revista de divulgación científica y tecnológica. ISSN,2018,,4944,,,,,2444.0,,"Calume, RC Guevara and Cuartas, O Muños and Álvarez, LF Zapata and Correa, F Orduña",
GUEVARA CALUME ROBERTO CARLOS,REVISIÓN SISTEMÁTICA A LOS CONTENIDOS DIGITALES INTERACTIVOS ELABORADOS CON PRÁCTICAS ÁGILES,,Investigación e Innovación,2018,,43--53,"Publicar T, Sello Editorial TdeA",,,,2.0,1,"Tabares, Ricardo de J Botero and Calume, Roberto Guevara",
GUEVARA CALUME ROBERTO CARLOS,"UNA PROPUESTA DE SOLUCIÓN AL PROBLEMA DE LA INTERFERENCIA ENTRE REDES WIFI POR SOLAPAMIENTO
DE CANALES",,Ciencia e Ingeniería Neogranadina,2013,,,,,,,,,Roberto Carlos Guevara C. and  Édgar Serna M.,
GUEVARA CALUME ROBERTO CARLOS,UNA PROPUESTA DE SOLUCIÓN AL PROBLEMA DE LA INTERFERENCIA ENTRE REDES WIFI POR SOLAPAMIENTO DE CANALES,,Ciencia e Ingeniería Neogranadina,2013,,,,,,http://www.redalyc.org/articulo.oa?id=91130493001,,,Roberto Carlos Guevara C.; Édgar Serna M.,
GUEVARA CALUME ROBERTO CARLOS,UNA PROPUESTA DE SOLUCIÓN AL PROBLEMA DE LA INTERFERENCIA ENTRE REDES WIFI POR SOLAPAMIENTO DE CANALES,,Ciencia e ingeniería Neogranadina,2013,,1,Universidad Militar Nueva Granada,,,,23.0,2,"Guevara, Roberto Carlos and Montoya, Edgar Serna",
GUEVARA CALUME ROBERTO CARLOS,UNA PROPUESTA DE SOLUCIÓN AL PROBLEMA DE LA INTERFERENCIA ENTRE REDES WIFI POR SOLAPAMIENTO DE CANALES,,Ciencia e Ingeniería Neogranadina,2013,dec,7,Universidad Militar Nueva Granada,10.18359/rcin.220,,http://dx.doi.org/10.18359/rcin.220,23.0,2,Roberto Carlos Guevara C. and Édgar Serna M.,
GUEVARA CALUME ROBERTO CARLOS,UNA REVISIÓN A LOS NIVELES DE INTERACTIVIDAD DE LOS CONTENIDOS DIGITALES,,,2015,,,,,,,,,"Guevara, Roberto and Botero, Ricardo and Castro, Carlos A",
JIMENEZ RAMOS LUISA MARIA,LA GOBERNANZA DE DATOS EN LA GESTIÓN ORGANIZACIONAL DE LAS INSTITUCIONES DE EDUCACIÓN SUPERIOR: UN ANÁLISIS BIBLIOMÉTRICO,Colombia,Criterio Libre,2022,,1 - 9,Universidad Libre Bogota,10.18041/1900-0642/criteriolibre.2022v20n36.9081,1900-0642,,,,,
LOZANO RODRIGUEZ JAVIER ARMANDO,APRENDIZAJE DEL ÁLGEBRA EN GRUPOS CON DISCAPACIDAD AUDITIVA UTILIZANDO LA CAJA DE POLINOMIOS,Colombia,Revista Sigma [Electronic Only],2009,,38 - 60,EDITORIAL UNIVERSITARIA,,2027-064X,,,,,
LOZANO RODRIGUEZ JAVIER ARMANDO,CONSTRUCCIÓN DE DISTRIBUCIONES MULTIVARIADAS CON MARGINALES DEPENDIENTES USANDO CÓPULAS EN R,Colombia,Ciencia En Desarrollo,2014,,21 - 31,Universidad Pedagógica y Tecnológica de Colombia,,0121-7488,,,,,
MAESTRE GONGORA GINA PAOLA,A BIBLIOMETRIC ANALYSIS AND BENCHMARK OF MACHINE LEARNING AND AUTOML IN CRASH SEVERITY PREDICTION: THE CASE STUDY OF THREE COLOMBIAN CITIES,Suiza,Sensors,2021,,1 - 22,Multidisciplinary Digital Publishing Institute (MDPI),10.3390/s21248401,1424-8220,https://doi.org/10.3390/s21248401,,,Juan S. Angarita-Zapata; Gina Maestre-Gongora; Jenny Fajardo Calderín,Q1
MAESTRE GONGORA GINA PAOLA,A DATA-DRIVEN ARCHITECTURE FOR SMART RENEWABLE ENERGY MICROGRIDS IN NON-INTERCONNECTED ZONES: A COLOMBIAN CASE STUDY,Suiza,Energies,2023,,1 - 15,Multidisciplinary Digital Publishing Institute (MDPI),10.3390/en16237900,1996-1073,https://doi.org/10.3390/en16237900,,,Ramón Fernando Colmenares-Quintero; Gina Maestre-Gongora; Oscar Camilo Valderrama-Riveros; Marieth Baquero-Almazo; Kim E. Stansfield,Q2
MAESTRE GONGORA GINA PAOLA,A SYSTEMATIC MAPPING STUDY OF MICRO-GRID ARCHITECTURES,Colombia,Scientia et Technica,2019,sep,366--376,Universidad Tecnologica de Pereira - UTP,10.22517/23447214.21421,2344-7214,https://doi.org/10.22517%2F23447214.21421,24.0,3,Julián Andrés Mera Paz and Ramón Fernando Colmenares Quintero and Gina Paola Maestre Gongora,
MAESTRE GONGORA GINA PAOLA,ANALYSIS OF THE ENERGY SERVICE IN NON-INTERCONNECTED ZONES OF COLOMBIA USING BUSINESS INTELLIGENCE,,Cogent Engineering,2021,jan,1907970,Informa UK Limited,10.1080/23311916.2021.1907970,2331-1916,https://doi.org/10.1080%2F23311916.2021.1907970,8.0,1,Ramón Fernando Colmenares-Quintero and Gina Paola Maestre-Gongora and Lina Judith Pacheco-Moreno and Natalia Rojas and Kim E. Stansfield and Juan Carlos Colmenares-Quintero,Q2
MAESTRE GONGORA GINA PAOLA,ANÁLISIS DE DATOS SOBRE LOS HURTOS EN LA CIUDAD DE MEDELLÍN DESDE UN ENFOQUE DESCRIPTIVO,Colombia,"Revista De Investigación, Desarrollo E Innovación",2023,,173 - 184,Universidad Pedagógica y Tecnológica de Colombia,10.19053/20278306.v13.n1.2023.16059,2027-8306,,,,,
MAESTRE GONGORA GINA PAOLA,CARACTERIZACIÓN DE BUENAS PRÁCTICAS PARA GESTIÓN DE SISTEMAS DE INFORMACIÓN EN ENTIDADES PÚBLICAS COLOMBIANAS,Colombia,Ingeniare,2018,,77 - 92,Universidad Libre,10.18041/1909-2458/ingeniare.24.5172,1909-2458,http://dx.doi.org/10.18041/1909-2458/ingeniare.24.5172,,,,Q2
MAESTRE GONGORA GINA PAOLA,CARACTERIZACIÓN DE LA SITUACIÓN ACTUAL DE LAS TECNOLOGÍAS INTELIGENTES PARA UNA UNIVERSIDAD INTELIGENTE EN COLOMBIA/LATINOAMÉRICA,Portugal,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,484 - 501,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MAESTRE GONGORA GINA PAOLA,CONCEPTUAL MODEL OF INFORMATION TECHNOLOGY MANAGEMENT FOR SMART CITIES: SMARTICITY,,Journal of Global Information Management,2019,,159-175,IGI Publishing,10.4018/JGIM.2019040109,1533-7995,,27.0,2,"Maestre-Gongora, G.P. and Bernal, W.N.",Q2
MAESTRE GONGORA GINA PAOLA,DATA ANALYSIS OF ELECTRICITY SERVICE IN COLOMBIA¿S NON-INTERCONNECTED ZONES THROUGH DIFFERENT CLUSTERING TECHNIQUES,Suiza,ENERGIES,2022,,1 - 16,Multidisciplinary Digital Publishing Institute (MDPI),10.3390/en15207644,1996-1073,,,,,Q2
MAESTRE GONGORA GINA PAOLA,DATASET ABOUT INFORMATION TECHNOLOGY GOVERNANCE: A SURVEY IN COLOMBIAN ENTERPRISES,,Data in Brief,2023,,-,Elsevier Bv,10.1016/j.dib.2023.109480,2352-3409,https://doi.org/10.1016/j.dib.2023.109480,,,Gina Maestre-Góngora; Diana Aponte,Q3
MAESTRE GONGORA GINA PAOLA,EXPLORING OPEN GOVERNMENT DATA AND BIG DATA FROM A QUALITY PERSPECTIVE,Colombia,Revista Colombiana de Computación,2023,,1 - 17,Universidad Autonoma De Bucaramanga,10.29375/25392115.4389,2539-2115,https://doi.org/10.29375/25392115.4389,,,Gina Maestre-Gongora; Adriana Rangel-Carrillo; Mariutsi Osorio-Sanabria,Q4
MAESTRE GONGORA GINA PAOLA,FACTORES CLAVE EN LA GESTIÓN DE TECNOLOGÍA DE INFORMACIÓN PARA SISTEMAS DE GOBIERNO INTELIGENTE,Chile,Journal of Technology Management \& Innovation,2015,dec,109--117,SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT),10.4067/s0718-27242015000400012,0718-2724,http://dx.doi.org/10.4067/s0718-27242015000400012,10.0,4,Gina Paola Maestre Góngora and Wilson Nieto Bernal,Q3
MAESTRE GONGORA GINA PAOLA,GESTIÓN DE TECNOLOGÍA DE INFORMACIÓN PARA GOBIERNOS INTELIGENTES: UN ENFOQUE DE ARQUITECTURA EMPRESARIAL,,,2017,,14 - 24,Sociacion de Profesionales y Tecnicos del CONICIT,,0798-1015,,,,,
MAESTRE GONGORA GINA PAOLA,INFORMATION TECHNOLOGY GOVERNANCE IN COLOMBIAN SMALL AND MEDIUM COMPANIES: AN EXPLORATORY STUDY USING DATA ANALYSIS,Colombia,"AiBi Revista de Investigación, Administración e Ingeniería",2023,,66 - 74,Universidad De Santander,10.15649/2346030X.3083,2346-030X,https://doi.org/10.15649/2346030X.3083,,,Yeni Trujillo-Lambert; Mariutsi Osorio Sanabria; Gina Maestre-Gongora; Hernan Astudillo,Q4
MAESTRE GONGORA GINA PAOLA,"INFORMATION TECHNOLOGY MANAGEMENT FOR SMART GOVERNMENT: A ENTERPRISE ARCHITECTURE APPROACH,GESTIÓN DE TECNOLOGÍA DE INFORMACIÓN PARA GOBIERNOS INTELIGENTES: UN ENFOQUE DE ARQUITECTURA EMPRESARIAL",,Espacios,2017,,,,,,,38.0,42,"Maestre Góngora, G.P. and Nieto Bernal, W.N.",Q3
MAESTRE GONGORA GINA PAOLA,MAPPING CONCEPT AND CHALLENGES FOR SMART TECHNOLOGIES: A SYSTEMATIC STUDY APPROACH,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,28-40,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,2020.0,E32,"Maestre-Gongora, G. and Colmenares-Quintero, R.F. and Stansfield, K.",Q4
MAESTRE GONGORA GINA PAOLA,MODELO DE EVALUACIÓN PARA VALORAR EL CAMBIO EN LAS PRÁCTICAS DOCENTES CON TIC,Colombia,UIS INGENIERIAS,2014,,7 - 22,,,1657-4583,,,,,
MAESTRE GONGORA GINA PAOLA,PLAN ESTRATÉGICO BASADO EN ITIL PARA MIPYMES EN EL DEPARTAMENTO DE ARAUCA-COLOMBIA,Colombia,Lámpsakos,2019,nov,68,Universidad Catolica Luis Amigo,10.21501/21454086.3280,2145-4086,https://doi.org/10.21501%2F21454086.3280,,22,Carlos Eduardo Puentes Figueroa and Gina Paola Maestre-Góngora,
MAESTRE GONGORA GINA PAOLA,"PRINCIPIOS, LINEAMIENTOS, DIMENSIONES Y ATRIBUTOS PARA LA EVALUACIÓN DE CALIDAD DE DATOS ABIERTOS DE GOBIERNO",Colombia,"Aibi revista de investigación, administración e ingeniería",2021,,54 - 65,Universidad De Santander,10.15649/2346030X.950,2346-030X,https://doi.org/10.15649/2346030X.950,,,Adriana Milena Rangel-Carrillo; Gina Paola Maestre-Góngora; Mariutsi-Alexandra Osorio-Sanabria,
MAESTRE GONGORA GINA PAOLA,REVISIÓN DE LITERATURA SOBRE CIUDADES INTELIGENTES: UNA PERSPECTIVA CENTRADA EN LAS TIC,Colombia,INGENIARE,2015,,137 - 149,Universidad Libre,10.18041/1909-2458/ingeniare.19.531,1909-2458,,,,Gina Paola Maestre Góngora,Q3
MAESTRE GONGORA GINA PAOLA,SMART UNIVERSITY: A VISION OF TECHNOLOGY ADOPTION,Colombia,Revista Colombiana de Computación,2021,,44 - 55,Universidad Autonoma De Bucaramanga,10.29375/25392115.4153,2539-2115,https://doi.org/10.29375/25392115.4153,,,Dewar Rico-Bautista; César D. Guerrero; César A. Collazos; Gina Maestre-Góngora; Julio A. Hurtado-Alegría; Yurley Medina-Cárdenas; Jose Swaminathan,Q4
MAESTRE GONGORA GINA PAOLA,"SMART UNIVERSITY: CHARACTERIZATION OF THE CURRENT SITUATION OF INTELLIGENT TECHNOLOGIES, BASED ON TWO CASE STUDIES,CARACTERIZACIÓN DE LA SITUACIÓN ACTUAL DE LAS TECNOLOGÍAS INTELIGENTES PARA UNA UNIVERSIDAD INTELIGENTE EN COLOMBIA/LATINOAMÉRICA",,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,484-501,,,,,2020.0,E27,"Rico-Bautista, D. and Maestre-Góngora, G.P. and Guerrero, C.D.",Q4
MAESTRE GONGORA GINA PAOLA,"SMART UNIVERSITY: STRATEGIC MAP SINCE THE ADOPTION OF TECHNOLOGY,UNIVERSIDAD INTELIGENTE: MAPA ESTRATÉGICO DESDE LA ADOPCIÓN DE TECNOLOGÍA",,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,2020,,711-724,,,,,2020.0,E28,"Rico-Bautista, D. and Medina-Cárdenas, Y. and Coronel-Rojas, L.A. and Cuesta-Quintero, F. and Barrientos-Avendaño, E. and León, R.A.G. and Maestre-Góngora, G.P.",Q4
MAESTRE GONGORA GINA PAOLA,TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES COMO APOYO AL SECTOR DE LAVADO DE AUTOMÓVILES,,Revista ESAICA,2015,,,,10.15649/24225126.268,,,,,,
MAESTRE GONGORA GINA PAOLA,THE VALUE OF OPEN DATA GOVERNMENT: A QUALITY ASSESSMENT APPROACH,Colombia,"Revista de Investigación, Desarrollo e Innovación",2021,aug,507--518,Universidad Pedagogica y Tecnologica de Colombia,10.19053/20278306.v11.n3.2021.13348,2027-8306,https://doi.org/10.19053%2F20278306.v11.n3.2021.13348,11.0,3,Gina Maestre-Gongora and Adriana Rangel-Carrillo and Mariutsi Osorio-Sanabria,
MAESTRE GONGORA GINA PAOLA,UNA EXPERIENCIA ESCOLAR CON MODELADO Y SIMULACIÓN PARA LA COMPRENSIÓN DE UN FENÓMENO: EL CASO DE LA INFLUENZA A(H1N1),Colombia,Nodos Y Nudos,2009,,91 - 104,UNIVERSIDAD PEDAGÓGICA NACIONAL,,0122-4328,,,,,
MAESTRE GONGORA GINA PAOLA,UNIVERSIDAD INTELIGENTE: FACTORES CLAVES PARA LA ADOPCIÓN DE INTERNET DE LAS COSAS Y BIG DATA,Portugal,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2021,,63 - 79,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),10.17013/risti.41.63-79,1646-9895,,,,,Q4
MAESTRE GONGORA GINA PAOLA,UNIVERSIDAD INTELIGENTE: MAPA ESTRATÉGICO DESDE LA ADOPCIÓN DE TECNOLOGÍA,Portugal,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,711 - 724,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,ADAPTIVE BLOCKCHAIN TECHNOLOGY FOR A CYBERSECURITY FRAMEWORK IN IIOT,España,IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE IEEE RITA,2022,,178 - 184,IEEE Education Society,10.1109/RITA.2022.3166857,1932-8540,,,,,
MARCELES VILLALBA KATERINE,ALGORITMO DE INTELIGENCIA ADAPTABLE A UN FRAMEWORK DE CIBERSEGURIDAD PARA IIOT,Colombia,INGENIERIA Y COMPETITIVIDAD,2022,,1 - 13,,10.25100/iyc.v0i00.11762,0123-3033,,,,,
MARCELES VILLALBA KATERINE,ANÁLISIS DE LOS FRAMEWORKS DE CIBERSEGURIDAD EN IIOT EXISTENTES,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2022,,436 - 448,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,ARQUITECTURA BASADA EN TECNOLOGÍAS EMERGENTES Y TECNOLOGÍA DE MONITOREO DE TRÁFICO DE RED,Colombia,Revista Investigación E Innovación En Ingenieria,2021,,18 - 31,Ediciones Universidad Simón Bolívar,10.17081/invinno.9.3.5340,2344-8652,,,,,
MARCELES VILLALBA KATERINE,ARQUITECTURA DE UN FRAMEWORK DE CIBERSEGURIDAD INTELIGENTE BASADO EN TECNOLOGÍA BLOCKCHAIN PARA IIOT,Colombia,INGENIERIA Y COMPETITIVIDAD,2022,,1 - 13,,10.25100/iyc.v0i00.11761,0123-3033,,,,,
MARCELES VILLALBA KATERINE,ARQUITECTURA IOT PARA LA IDENTIFICACIÓN DE PERSONAS EN ENTORNOS EDUCATIVOS,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2019,,841 - 853,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,AUGMENTED REALITY MOBILE INFORMATION SYSTEM FOR THE OBTAINING DETAILED AND NON-INTRUSIVE INFORMATION IN LARGE ENVIRONMENTS,Colombia,INGENIERIA SOLIDARIA,2023,,1 - 19,,10.16925/2357-6014.2023.01.06,2357-6014,,,,,
MARCELES VILLALBA KATERINE,CHARACTERIZATION OF THE SERIOUS GAMES APPLIED TO THE HISTORICAL HERITAGE,México,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,2018,,135 - 144,Springer Science and Business Media Deutschland GmbH,10.1007/978-3-030-03763-5,1865-0929,,,,,Q3
MARCELES VILLALBA KATERINE,COFFEE FUN: GAMIFIED TOOL BASED ON THE SUM AGILE DEVELOPMENT METHODOLOGY FOR VIDEO GAMES,Colombia,Revista Ingenierías Universidad de Medellín,2020,,159 - 169,UNIVERSIDAD DE MEDELLIN,10.22395/RIUM.V20N38A10,2248-4094,,,,,
MARCELES VILLALBA KATERINE,COMPORTAMIENTO DEL ALGORITMO RSA EN DIFERENTES ARQUITECTURAS COMPUTACIONALES,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2021,,358 - 369,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,CONCEPTUAL FOUNDATION FOR AN AUTOMATED PENTESTER BASED ON A SINGLE BOARD COMPUTER,Colombia,INGENIERIA SOLIDARIA,2019,,1 - 16,,10.16925/2357-6014.2019.02.08,1900-3102,,,,,
MARCELES VILLALBA KATERINE,CONCEPTUALIZATION OF SERIOUS GAMES USED FOR THE DISSEMINATION OF HISTORICAL AND CULTURAL HERITAGE IN COLOMBIA,México,Research In Computing Science,2017,,145 - 156,,,1665-9899,,,,,
MARCELES VILLALBA KATERINE,CRIPTOANÁLISIS DEL ALGORITMO RSA DE AL MENOS 330 BITS CON DISPOSITIVOS DE BAJO COSTO SBC,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2019,,886 - 899,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,CRYPTANALYSIS OF THE RSA ALGORITHM UNDER A SYSTEM DISTRIBUTED USING SBC DEVICES,México,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,2018,,3 - 12,Springer Science and Business Media Deutschland GmbH,10.1007/978-3-030-03763-5,1865-0929,,,,,Q3
MARCELES VILLALBA KATERINE,CRYPTOANALYSIS OF THE 340 BIT RSA ALGORITHM USING SBC,México,Research In Computing Science,2017,,124 - 134,,,1665-9899,,,,,
MARCELES VILLALBA KATERINE,DETERMINACIÓN DE TÉCNICA DE INTELIGENCIA PARA LA DETECCIÓN DE UN TIPO DE ATAQUE EN UN IDS,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2021,,317 - 329,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,DISEÑO DE UN SERVICIO DE LLAMADA ANÓNIMA BASADA EN UN SBC DE BAJO COSTO,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2021,,276 - 288,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,DYNAMIC CYBERSECURITY MODEL BASED ON ISO STANDARDS FOR HIGHER EDUCATION INSTITUTIONS IN COLOMBIA,Colombia,INGENIERIA SOLIDARIA,2021,,1 - 21,,10.16925/2357-6014.2021.03.05,1900-3102,,,,,
MARCELES VILLALBA KATERINE,"ECOLOGIES OF LEARNING, IN THE DEVELOPMENT OF A VIDEO GAME FOR THE FORMATION OF THE RECYCLING PROCESS IN PRIMARY SCHOOL CHILDREN",México,Research In Computing Science,2017,,110 - 118,,,1665-9899,,,,,
MARCELES VILLALBA KATERINE,ECOSYSTEMS OF COLLABORATIVE LEARNING IN EDUCATIONAL TECHNOLOGICAL MEDIATIONS: CASE ANALYSIS,México,Journal Of Circuits Systems And Computers,2017,,119 - 123,Editorial Pax Mexico,,1870-4069,,,,,Q3
MARCELES VILLALBA KATERINE,ESTIMATE OF THE SATISFACTION ATTRIBUTE IN USER TESTS FROM FACIAL EXPRESSION ANALYSIS,Colombia,Revista Ingenierías Universidad de Medellín,2020,,13 - 28,UNIVERSIDAD DE MEDELLIN,10.22395/rium.v19n36a1,1692-3324,,,,,
MARCELES VILLALBA KATERINE,ESTRATEGIA INCLUSIVA MEDIADA POR TIC PARA EL MEJORAMIENTO DE LA COMUNICACIÓN DE PERSONAS EN CONDICIÓN DE DISCAPACIDAD AUDITIVA Y VOCAL,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2019,,184 - 193,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,EVALUATIVE STUDY OF AN ANONYMOUS COMMUNICATION ARCHITECTURE FOR WEB BROWSING USING SBC DEVICES,Colombia,Ingeniería Y Competitividad,2021,,1 - 15,Centro Editorial De La Universidad Del Valle,10.25100/iyc.v24i1.11063,2027-8284,,,,,
MARCELES VILLALBA KATERINE,GESTOR UNIFICADO DE AMENAZAS BASADO EN UN RASPBERRY PI,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2021,,303 - 316,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,HERO TEST: HERRAMIENTA INTERACTIVA DE TAMIZAJE ENFOCADA EN LA DETECCIÓN TEMPRANA DE DEFICIENCIAS AUDITIVAS EN NIÑOS ENTRE LOS 4 A 7 AÑOS DE EDAD,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,502 - 514,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,HERRAMIENTA TECNOLÓGICA DISRUPTIVA PARA LA INCLUSIÓN SOCIAL EN PERSONAS SORDAS,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,751 - 762,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,ORIENTATION SYSTEM USING AUGMENTED REALITY FOR UNIVERSITIES,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,2023,,1 - 19,,10.19053/01211129.v32.n64.2023.15538,0121-1129,,,,,
MARCELES VILLALBA KATERINE,PASOS PARA DISEÑAR UN MODELO DE MADUREZ CON MARCO DE TRABAJO ÁGIL PARA LA IMPLEMENTACIÓN A SISTEMAS DE GESTIÓN DE SEGURIDAD DE TI ALINEADO A LAS POLÍTICAS DE GOBIERNO COLOMBIANO PARA EL SECTOR PÚBLICO,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2022,,501 - 507,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,PROPUESTA DE UNA ARQUITECTURA IOT PARA EL CONTROL DOMÓTICO E INMÓTICO DE EDIFICACIONES,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,28 - 40,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,"PROPUESTA DE UNA HERRAMIENTA PARA LA ESTIMACIÓN DE LA SATISFACCIÓN EN PRUEBAS DE USUARIO, A PARTIR DEL ANÁLISIS DE EXPRESIÓN FACIAL",Colombia,REVISTA COLOMBIANA DE COMPUTACION,2018,,6 - 15,Universidad Autonoma De Bucaramanga,10.29375/25392115.3438,2539-2115,,,,,
